Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","9,088.45","9,127.55","8,407.05","8,468.80","-498.25","-5.56","15,172.76","39,255.84","12,430.50","8,555.15","-26.12","-29.69"
"ZEEL","135.00","185.00","135.00","168.00","34.90","26.22","406.65","608.18","467.80","131.60","-63.27","-29.77"
"YESBANK","64.50","87.30","49.90","61.10","2.45","4.18","3,641.52","2,494.81","286.00","5.65","-75.16","64.47"
"ITC","152.10","154.65","147.35","151.45","2.30","1.54","502.49","758.96","310.00","134.60","-48.44","-26.05"
"TATASTEEL","290.00","293.15","275.70","283.95","1.20","0.42","187.73","528.73","561.65","255.35","-45.93","-35.00"
"TCS","1,676.80","1,713.55","1,627.75","1,665.00","7.00","0.42","72.59","1,210.38","2,296.20","1,506.05","-17.69","-24.43"
"SBIN","221.00","223.15","200.10","215.85","0.70","0.33","1,014.05","2,123.53","373.80","184.65","-27.80","-31.30"
"COALINDIA","151.60","151.85","143.00","145.00","-0.90","-0.62","187.44","274.11","271.45","123.65","-40.62","-13.61"
"SUNPHARMA","383.40","386.40","355.10","367.00","-3.15","-0.85","123.43","456.01","484.25","325.00","-21.19","-10.14"
"WIPRO","176.70","178.50","168.50","170.85","-2.25","-1.30","63.67","110.26","301.60","168.50","-33.68","-29.92"
"VEDL","78.00","78.65","72.10","73.90","-1.10","-1.47","305.65","230.67","195.10","68.90","-57.36","-47.99"
"ONGC","61.60","86.80","57.50","59.00","-1.00","-1.67","1,785.93","1,192.47","178.90","50.00","-61.85","-40.97"
"IOC","90.25","91.35","86.45","87.85","-1.55","-1.73","181.45","159.87","170.75","76.00","-46.04","-21.42"
"TECHM","600.00","611.25","570.65","584.70","-10.75","-1.81","35.49","209.88","846.50","525.90","-25.86","-29.83"
"AXISBANK","490.00","506.05","392.10","479.30","-9.05","-1.85","362.69","1,655.37","827.75","392.10","-36.23","-35.09"
"CIPLA","411.80","411.80","381.70","394.00","-7.75","-1.93","42.01","167.27","586.00","355.30","-26.29","-8.78"
"ADANIPORTS","270.00","273.00","256.00","260.25","-6.90","-2.58","55.81","146.51","430.60","232.00","-29.47","-28.27"
"ICICIBANK","369.10","375.50","342.30","357.20","-10.05","-2.74","612.04","2,182.17","552.20","342.30","-10.26","-34.05"
"RELIANCE","1,025.30","1,035.90","961.00","976.50","-31.50","-3.13","204.50","2,029.06","1,617.55","942.40","-27.67","-33.94"
"TATAMOTORS","79.90","80.45","75.10","75.45","-2.50","-3.21","701.34","542.07","239.35","75.10","-58.60","-55.38"
"HCLTECH","455.00","464.80","429.05","436.00","-14.65","-3.25","49.36","218.38","623.50","395.95","-56.92","-28.93"
"HINDUNILVR","2,034.05","2,063.80","1,909.35","1,934.10","-69.95","-3.49","39.11","778.06","2,308.20","1,650.00","13.93","-14.14"
"DRREDDY","2,801.80","2,801.80","2,621.05","2,683.25","-97.95","-3.52","8.74","234.65","3,364.95","2,351.20","0.52","-18.58"
"BAJAJ-AUTO","2,290.00","2,309.90","2,157.15","2,190.05","-80.40","-3.54","5.94","131.75","3,315.15","2,040.00","-27.12","-28.79"
"MARUTI","5,671.00","5,688.80","5,312.55","5,365.50","-238.45","-4.26","9.73","527.58","7,758.70","4,803.05","-22.34","-22.32"
"POWERGRID","164.00","164.90","122.15","155.00","-7.00","-4.32","674.49","987.18","216.25","122.15","-21.34","-15.58"
"NTPC","89.00","90.35","74.90","84.25","-3.85","-4.37","886.60","730.20","145.85","74.90","-46.93","-23.62"
"ULTRACEMCO","3,537.90","3,537.90","3,270.50","3,310.00","-160.45","-4.62","7.91","265.25","4,904.95","3,114.00","-16.63","-25.62"
"LT","968.00","974.75","900.00","912.30","-44.45","-4.65","55.87","520.15","1,607.00","890.00","-33.84","-28.74"
"INFY","568.00","578.00","528.00","529.00","-25.95","-4.68","153.92","851.03","847.00","528.00","-25.51","-32.99"
"GRASIM","568.00","568.00","492.40","529.00","-26.65","-4.80","68.39","361.56","959.80","492.40","-35.37","-28.26"
"GAIL","74.65","76.20","69.25","71.00","-3.65","-4.89","304.65","217.89","183.25","65.00","-80.27","-39.83"
"HINDALCO","119.00","119.00","108.15","109.70","-5.70","-4.94","121.06","135.94","221.20","103.10","-45.03","-42.34"
"BHARTIARTL","460.00","478.80","407.45","429.65","-25.05","-5.51","288.15","1,278.07","568.85","291.51","29.96","-23.94"
"NESTLEIND","14,550.00","14,738.00","13,400.00","13,646.10","-894.90","-6.15","2.13","296.43","16,835.15","10,120.05","30.50","-17.74"
"EICHERMOT","17,110.10","17,450.00","15,828.15","16,002.75","-1,058.35","-6.20","1.59","260.62","23,450.00","15,200.00","-28.08","-13.67"
"BPCL","363.95","366.05","328.20","334.90","-22.30","-6.24","102.09","347.04","549.00","275.45","-17.42","-27.46"
"BRITANNIA","2,728.00","2,744.95","2,480.00","2,515.00","-171.00","-6.37","6.49","168.38","3,583.75","2,300.00","-19.48","-18.45"
"HDFC","1,771.00","1,784.70","1,602.40","1,642.00","-113.80","-6.48","90.71","1,534.78","2,499.90","1,602.40","-16.33","-30.14"
"ASIANPAINT","1,732.00","1,758.55","1,608.00","1,615.95","-115.65","-6.68","36.77","608.49","1,916.70","1,291.25","11.78","-14.11"
"JSWSTEEL","180.05","181.15","156.45","164.55","-11.90","-6.74","189.51","315.67","314.00","156.45","-44.21","-42.89"
"M&M","379.00","383.70","339.10","347.00","-26.40","-7.07","65.96","235.97","704.20","339.10","-49.37","-33.62"
"TITAN","1,028.00","1,028.00","921.00","929.30","-71.70","-7.16","55.09","520.09","1,389.95","921.00","-15.62","-29.39"
"UPL","360.00","363.95","314.60","324.95","-25.90","-7.38","55.46","188.04","709.05","314.60","-64.95","-45.39"
"HDFCBANK","985.00","993.00","865.00","900.40","-74.70","-7.66","305.94","2,803.13","1,305.50","865.00","-60.18","-26.02"
"HEROMOTOCO","1,841.00","1,860.00","1,666.00","1,692.15","-149.00","-8.09","11.19","193.80","3,022.90","1,535.00","-36.61","-25.89"
"BAJAJFINSV","7,150.00","7,200.00","6,257.40","6,305.75","-711.75","-10.14","6.45","425.54","9,950.00","6,257.40","-10.01","-33.82"
"BAJFINANCE","3,490.00","3,530.00","3,018.90","3,084.95","-359.90","-10.45","54.44","1,732.05","4,923.40","2,801.00","5.30","-35.42"
"KOTAKBANK","1,326.00","1,329.00","1,162.10","1,174.20","-148.50","-11.23","111.68","1,356.71","1,740.00","1,162.10","-12.61","-30.57"
"INFRATEL","194.40","202.55","148.00","150.60","-43.80","-22.53","168.18","280.83","333.45","148.00","-52.66","-35.91"
"INDUSINDBK","629.00","638.85","374.80","455.65","-148.50","-24.58","748.68","3,670.27","1,834.40","374.80","-73.49","-61.15"

